86,43,4
5,36,3
16,58,1
66,47,4
20,37,3
89,27,4
56,68,5
21,42,3
96,22,4
72,80,5
99,10,4
20,74,1
59,19,3
70,23,4
81,86,5
53,14,3
72,60,5
2,80,1
10,77,1
81,76,5
44,86,2
3,58,1
7,32,3
89,6,4
61,50,4
31,74,2
96,47,4
100,60,4
96,66,5
0,82,1
17,1,3
2,43,1
8,80,1
15,62,1
81,28,4
45,78,2
48,42,3
61,82,5
24,33,3
23,39,3
37,20,3
99,54,4
5,76,1
45,74,2
87,75,5
61,36,4
46,94,2
58,74,5
73,93,5
37,53,3
41,25,3
88,98,5
79,43,4
19,44,3
60,68,5
93,46,4
76,94,5
20,47,3
17,70,1
55,22,3
12,43,3
100,87,5
5,42,1
54,67,5
13,93,1
61,37,4
99,52,4
6,18,3
23,15,3
93,47,4
70,12,4
49,40,3
42,82,2
85,74,5
93,3,4
2,44,1
39,29,3
29,60,1
13,68,1
62,69,5
37,17,3
83,33,4
7,86,1
80,99,5
7,83,1
74,35,4
75,7,4
41,57,3
20,97,2
57,93,5
23,95,2
57,74,5
37,78,2
55,98,2
34,30,3
23,38,3
38,31,3
43,54,3
39,54,3
6,73,1
