86,43,5
5,36,3
16,58,1
66,47,5
20,37,3
89,27,5
56,68,4
21,42,3
96,22,5
72,80,2
99,10,5
20,74,1
59,19,5
70,23,5
81,86,2
53,14,5
72,60,2
2,80,1
10,77,1
81,76,2
44,86,4
3,58,1
7,32,3
89,6,5
61,50,5
31,74,4
96,47,5
100,60,2
96,66,2
0,82,1
17,1,3
2,43,3
8,80,1
15,62,1
81,28,5
45,78,4
48,42,3
61,82,4
24,33,3
23,39,3
37,20,3
99,54,2
5,76,1
45,74,4
87,75,2
61,36,5
46,94,4
58,74,4
73,93,2
37,53,4
41,25,3
88,98,2
79,43,5
19,44,3
60,68,4
93,46,5
76,94,2
20,47,3
17,70,1
55,22,5
12,43,3
100,87,2
5,42,3
54,67,4
13,93,1
61,37,5
99,52,2
6,18,3
23,15,3
93,47,5
70,12,5
49,40,5
42,82,4
85,74,2
93,3,5
2,44,3
39,29,3
29,60,4
13,68,1
62,69,4
37,17,3
83,33,5
7,86,1
80,99,2
7,83,1
74,35,5
75,7,5
41,57,4
20,97,1
57,93,4
23,95,1
57,74,4
37,78,4
55,98,4
34,30,3
23,38,3
38,31,3
43,54,4
39,54,4
6,73,1
