86,43,6
5,36,7
16,58,9
66,47,4
20,37,7
89,27,6
56,68,2
21,42,7
96,22,6
72,80,3
99,10,6
20,74,9
59,19,8
70,23,8
81,86,3
53,14,8
72,60,4
2,80,1
10,77,1
81,76,3
44,86,5
3,58,9
7,32,7
89,6,6
61,50,4
31,74,9
96,47,6
100,60,3
96,66,3
0,82,1
17,1,7
2,43,7
8,80,1
15,62,9
81,28,6
45,78,5
48,42,10
61,82,2
24,33,7
23,39,7
37,20,10
99,54,6
5,76,1
45,74,5
87,75,3
61,36,8
46,94,5
58,74,2
73,93,3
37,53,10
41,25,10
88,98,3
79,43,4
19,44,7
60,68,2
93,46,6
76,94,3
20,47,7
17,70,9
55,22,8
12,43,7
100,87,3
5,42,7
54,67,2
13,93,1
61,37,8
99,52,6
6,18,7
23,15,7
93,47,6
70,12,8
49,40,10
42,82,5
85,74,3
93,3,6
2,44,7
39,29,10
29,60,9
13,68,9
62,69,2
37,17,10
83,33,6
7,86,1
80,99,3
7,83,1
74,35,8
75,7,8
41,57,10
20,97,1
57,93,5
23,95,1
57,74,2
37,78,5
55,98,5
34,30,10
23,38,7
38,31,10
43,54,10
39,54,10
6,73,1
